objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
photo_5382083824709651121_x,photo_5382083824709651121_x.jpg,,Новый частотный словарь русской лексики,image/jpeg,Едва ли не самая частотная ссылка в моих статьях -- это ссылка на частотный словарь. А однажды в отзыве на кандидатскую диссертацию я исправил ошибочную ссылку на это издание. Считаю это главным своим вкладом в науку. С днем рождения!,Борис Орехов,,,,single-page; photographs,,,55.682667,37.525141,,,,,,,,,Image;StillImage,rus,
Чеширский кот в стиле Кандинского_Kandinsky 2.1,Чеширский кот в стиле Кандинского_Kandinsky 2.1.jpg,,Чеширский кот в стиле Кандинского,image/jpeg,"Поздравляю! Весь обзавидовался, что моя улыбка не такая красивая. ",Наталья Пименова,,,,,,,,,,,,,,,,,,,
Ольга Николаевна Ляшевская читает стихи пограничникам в Праге_Kandinsky 2.1,Ольга Николаевна Ляшевская читает стихи пограничникам в Праге_Kandinsky 2.1.jpeg,,Ольга Николаевна Ляшевская читает стихи пограничникам в Праге (почти реальный случай),image/jpeg,,Кристина Литвинцева,,,,,,,,,,,,,,,,,,,
Screenshot 2023-05-02 at 18.32.20.png,Screenshot 2023-05-02 at 18.32.20.png,,Стихи о цвете в стиле серебряного века,image/png,,Кристина Литвинцева,,,,,,,,,,,,,,,,,,,
1.jpg,1.jpg,, _,image/jpeg,,,,,,,,,,,,,,,,,,,,,
2.jpg,2.jpg,,Велосипедистка,image/jpeg,Велосипедистка - это потому что в моем опыте совместных поездок на конференции так Оля проводит время после заседаний.,,,,,,,,,,,,,,,,,,,,
3.jpg,3.jpg,, _,image/jpeg,,,,,,,,,,,,,,,,,,,,,
olka.png,olka.png,,Поздравление для Оли,image/png,"Просто картинка с подписью, ничего более серьёзного",Аня Недолужко,,,,,,,,,,,,,,,,,,,
WordItOut-word-cloud-5332032.png,WordItOut-word-cloud-5332032.png,, _,image/png,Мы попросили ChatGPT нам дать норвежские слова связанные с Тромсе и потом из них составили для нее облако слов и вот что мы получили.,,,,,,,,,,,,,,,,,,,,
image.png,image.png,, _,image/png,,,,,,,,,,,,,,,,,,,,,
image-1.png,image-1.png,, _,image/png,,,,,,,,,,,,,,,,,,,,,
image-2.png,image-2.png,, _,image/png,,,,,,,,,,,,,,,,,,,,,
image-3.png,image-3.png,, _,image/png,,,,,,,,,,,,,,,,,,,,,
image-4.png,image-4.png,, _,image/png,,,,,,,,,,,,,,,,,,,,,
image-5.png,image-5.png,, _,image/png,,,,,,,,,,,,,,,,,,,,,
image-6.png,image-6.png,, _,image/png,,,,,,,,,,,,,,,,,,,,,
image-7.png,image-7.png,, _,image/png,,,,,,,,,,,,,,,,,,,,,
photo_5382083824709651214_y.jpg,photo_5382083824709651214_y.jpg,, _,image/jpeg,,Эдуард Станиславович Клышинский,,,,,,,,,,,,,,,,,,,
ON_HB,ON_HB.pdf,,Стишок,application/pdf,"Ольга Николаевна, с днём рождения! Спасибо Вам за всё!
Рома Казаков, Ваш ученик и выпускник 2022 года",Рома Казаков,,,,,,,,,,,,,,,,,,,
plu_ra_lyashevskaya,plu_ra_lyashevskaya.pdf,,Биография Ольги Ляшевской,application/pdf,"Мы спросили у говорящего по-русски чат-бота GPT (chatgptbot.ru), что ему известно про Олю. К нашему удивлению, искусственный интеллект не только прекрасно знал, кто такая Ольга Ляшевская (и чрезвычайно высоко оценил ее заслуги), но и сообщил множество удивительных подробностей о ее детстве, семье, привычках, а также местах работы. Некоторые факты нам были, конечно, известны и раньше, но некоторые оказались полным открытием.

Оля, с замечательным юбилеем Вас! Пусть ваша слава растет и ширится :)",Екатерина Владимировна Рахилина и Владимир Александрович Плунгян,,,,,,,,,,,,,,,,,,,
hokku,hokku.pdf,,5 хокку,application/pdf,"Дорогая Оля, chatgpt сочинил для тебя пять хокку. 
Кажется, это единственный размер, с которым он справляется легко, что неудивительно. Но суть он выразил точно. Не потому что искусственный интеллект, а потому что она  точно есть и будет в обучающих данных
Обнимаю 
С днем рождения! ",Ася Бонч-Осмоловская,,,,,,,,,,,,,,,,,,,
